Entity,Category,Year,Diffusion
Landline,Communication,1987,0.925
Radio,Communication,1987,0.99
Stove,Household,1987,0.99
Washing machine,Household,1987,0.73
Automobile,Transportation,1988,0.895
Cable TV,Entertainment,1988,0.5878
Colour TV,Entertainment,1988,0.93
Electric power,Household,1988,0.99
Home air conditioning,Household,1988,0.65
Household refrigerator,Household,1988,0.99
Landline,Communication,1988,0.9275
Radio,Communication,1988,0.99
Stove,Household,1988,0.99
Washing machine,Household,1988,0.74
Automobile,Transportation,1989,0.9
Cable TV,Entertainment,1989,0.5905
Colour TV,Entertainment,1989,0.94
Electric power,Household,1989,0.99
Flush toilet,Household,1989,1
Home air conditioning,Household,1989,0.68
Household refrigerator,Household,1989,0.99
Landline,Communication,1989,0.93
Radio,Communication,1989,0.99
Running water,Household,1989,1
Stove,Household,1989,0.99
Washing machine,Household,1989,0.76
Automobile,Transportation,1990,0.91
Cable TV,Entertainment,1990,0.599
Colour TV,Entertainment,1990,0.96
Electric power,Household,1990,0.99
Home air conditioning,Household,1990,0.69
Household refrigerator,Household,1990,0.99
Landline,Communication,1990,0.935
Radio,Communication,1990,0.99
Stove,Household,1990,0.99
Washing machine,Household,1990,0.76
Automobile,Transportation,1991,0.91
Cable TV,Entertainment,1991,0.609
Colour TV,Entertainment,1991,0.96
Electric power,Household,1991,0.99
Home air conditioning,Household,1991,0.7
Household refrigerator,Household,1991,0.99
Landline,Communication,1991,0.94
Radio,Communication,1991,0.99
Stove,Household,1991,0.99
Washing machine,Household,1991,0.77
Automobile,Transportation,1992,0.91
Cable TV,Entertainment,1992,0.6185
Colour TV,Entertainment,1992,0.95
Computer,Communication,1992,0.207
Dishwasher,Household,1992,0.493
Dryer,Household,1992,0.779
Electric power,Household,1992,0.99
Freezer,Household,1992,0.371
Home air conditioning,Household,1992,0.69
Household refrigerator,Household,1992,0.99
Landline,Communication,1992,0.94
Microwave,Household,1992,0.822
Radio,Communication,1992,0.99
Stove,Household,1992,0.99
Television,Entertainment,1992,0.966
Videocassette recorder,Entertainment,1992,0.738
Washing machine,Household,1992,0.77
Automobile,Transportation,1993,0.92
Cable TV,Entertainment,1993,0.636
Colour TV,Entertainment,1993,0.95
Electric power,Household,1993,0.99
Home air conditioning,Household,1993,0.68
Household refrigerator,Household,1993,0.99
Internet,Communication,1993,0.1
Landline,Communication,1993,0.94
Radio,Communication,1993,0.99
Stove,Household,1993,0.99
Washing machine,Household,1993,0.77
Automobile,Transportation,1994,0.91
Cable TV,Entertainment,1994,0.649
Cellular phone,Communication,1994,0.1
Colour TV,Entertainment,1994,0.96
Electric power,Household,1994,0.99
Home air conditioning,Household,1994,0.69
Household refrigerator,Household,1994,0.99
Internet,Communication,1994,0.11
Landline,Communication,1994,0.94
Radio,Communication,1994,0.99
Stove,Household,1994,0.99
Washing machine,Household,1994,0.77
Automobile,Transportation,1995,0.91
Cable TV,Entertainment,1995,0.6527
Cellular phone,Communication,1995,0.12
Colour TV,Entertainment,1995,0.94
Electric power,Household,1995,0.99
Home air conditioning,Household,1995,0.71
Household refrigerator,Household,1995,0.99
Internet,Communication,1995,0.13
Landline,Communication,1995,0.94
Radio,Communication,1995,0.99
Stove,Household,1995,0.99
Washing machine,Household,1995,0.77
Automobile,Transportation,1996,0.92
Cable TV,Entertainment,1996,0.6536
Cellular phone,Communication,1996,0.16
Colour TV,Entertainment,1996,0.96
Electric power,Household,1996,0.99
Home air conditioning,Household,1996,0.72
Household refrigerator,Household,1996,0.99
Internet,Communication,1996,0.16
Landline,Communication,1996,0.94
Radio,Communication,1996,0.99
Stove,Household,1996,0.99
Washing machine,Household,1996,0.77
Automobile,Transportation,1997,0.92
Cable TV,Entertainment,1997,0.6507
Cellular phone,Communication,1997,0.21
Colour TV,Entertainment,1997,0.95
Electric power,Household,1997,0.99
Home air conditioning,Household,1997,0.73
Household refrigerator,Household,1997,0.99
Internet,Communication,1997,0.19
Landline,Communication,1997,0.94
Radio,Communication,1997,0.99
Stove,Household,1997,0.99
Washing machine,Household,1997,0.77
Automobile,Transportation,1998,0.92
Cellular phone,Communication,1998,0.363
Colour TV,Entertainment,1998,0.94
Computer,Communication,1998,0.42
Dishwasher,Household,1998,0.56
Dryer,Household,1998,0.868
Electric power,Household,1998,0.99
Freezer,Household,1998,0.349
Home air conditioning,Household,1998,0.74
Household refrigerator,Household,1998,0.99
Internet,Communication,1998,0.25
Landline,Communication,1998,0.94
Microwave,Household,1998,0.907
Radio,Communication,1998,0.99
Stove,Household,1998,0.99
Television,Entertainment,1998,0.984
Videocassette recorder,Entertainment,1998,0.852
Washing machine,Household,1998,0.78
Automobile,Transportation,1999,0.91
Cellular phone,Communication,1999,0.34
Colour TV,Entertainment,1999,0.95
Electric power,Household,1999,0.99
Home air conditioning,Household,1999,0.75
Household refrigerator,Household,1999,0.99
Internet,Communication,1999,0.34
Landline,Communication,1999,0.94
Radio,Communication,1999,0.99
Stove,Household,1999,0.99
Washing machine,Household,1999,0.78
Automobile,Transportation,2000,0.92
Cellular phone,Communication,2000,0.42
Colour TV,Entertainment,2000,0.94
Electric power,Household,2000,0.99
Home air conditioning,Household,2000,0.76
Household refrigerator,Household,2000,0.99
Internet,Communication,2000,0.42
Landline,Communication,2000,0.94
Radio,Communication,2000,0.99
Stove,Household,2000,0.99
Washing machine,Household,2000,0.78
Automobile,Transportation,2001,0.92
Cellular phone,Communication,2001,0.49
Colour TV,Entertainment,2001,0.94
Electric power,Household,2001,0.99
Home air conditioning,Household,2001,0.78
Household refrigerator,Household,2001,0.99
Internet,Communication,2001,0.49
Landline,Communication,2001,0.945
Radio,Communication,2001,0.99
Stove,Household,2001,0.99
Washing machine,Household,2001,0.79
Automobile,Transportation,2002,0.91
Cellular phone,Communication,2002,0.56
Colour TV,Entertainment,2002,0.96
Electric power,Household,2002,0.99
Home air conditioning,Household,2002,0.83
Household refrigerator,Household,2002,0.99
Internet,Communication,2002,0.52
Landline,Communication,2002,0.95
Radio,Communication,2002,0.99
Stove,Household,2002,0.99
Washing machine,Household,2002,0.8
Automobile,Transportation,2003,0.91
Cellular phone,Communication,2003,0.628
Colour TV,Entertainment,2003,0.95
Computer,Communication,2003,0.631
Dishwasher,Household,2003,0.623
Dryer,Household,2003,0.891
Electric power,Household,2003,0.99
Freezer,Household,2003,0.369
Home air conditioning,Household,2003,0.87
Household refrigerator,Household,2003,0.99
Internet,Communication,2003,0.54
Landline,Communication,2003,0.94
Microwave,Household,2003,0.959
Radio,Communication,2003,0.99
Stove,Household,2003,0.99
Television,Entertainment,2003,0.988
Videocassette recorder,Entertainment,2003,0.9
Washing machine,Household,2003,0.81
Automobile,Transportation,2004,0.91
Cellular phone,Communication,2004,0.63
Colour TV,Entertainment,2004,0.97
Electric power,Household,2004,0.99
Home air conditioning,Household,2004,0.89
Household refrigerator,Household,2004,0.99
Internet,Communication,2004,0.57
Landline,Communication,2004,0.93
Radio,Communication,2004,0.99
Stove,Household,2004,0.99
Washing machine,Household,2004,0.81
Automobile,Transportation,2005,0.91
Cellular phone,Communication,2005,0.713
Colour TV,Entertainment,2005,0.96
Computer,Communication,2005,0.671
Dishwasher,Household,2005,0.64
Dryer,Household,2005,0.812
Electric power,Household,2005,0.99
Freezer,Household,2005,0.366
Home air conditioning,Household,2005,0.89
Household refrigerator,Household,2005,0.99
Internet,Communication,2005,0.61
Landline,Communication,2005,0.92
Microwave,Household,2005,0.964
Radio,Communication,2005,0.99
Social media usage,Entertainment,2005,0.05
Stove,Household,2005,0.99
Television,Entertainment,2005,0.989
Videocassette recorder,Entertainment,2005,0.922
Washing machine,Household,2005,0.81
Cellular phone,Communication,2006,0.67
Home air conditioning,Household,2006,0.89
Internet,Communication,2006,0.62
Podcasting,Entertainment,2006,0.11
Social media usage,Entertainment,2006,0.11
Washing machine,Household,2006,0.81
Cellular phone,Communication,2007,0.73
Home air conditioning,Household,2007,0.89
Internet,Communication,2007,0.65
Podcasting,Entertainment,2007,0.13
Social media usage,Entertainment,2007,0.15
Washing machine,Household,2007,0.8
Cellular phone,Communication,2008,0.75
Home air conditioning,Household,2008,0.88
Internet,Communication,2008,0.68
Podcasting,Entertainment,2008,0.18
Social media usage,Entertainment,2008,0.21
Washing machine,Household,2008,0.79
Cellular phone,Communication,2009,0.84
Ebook reader,Entertainment,2009,0.02
Home air conditioning,Household,2009,0.87
Internet,Communication,2009,0.7
Landline,Communication,2009,0.83
Podcasting,Entertainment,2009,0.22
Social media usage,Entertainment,2009,0.37
Cellular phone,Communication,2010,0.872
Computer,Communication,2010,0.752
Dishwasher,Household,2010,0.694
Dryer,Household,2010,0.832
Ebook reader,Entertainment,2010,0.05
Freezer,Household,2010,0.379
Home air conditioning,Household,2010,0.885
Household refrigerator,Household,2010,0.993
Internet,Communication,2010,0.74
Landline,Communication,2010,0.75
Microwave,Household,2010,0.971
Podcasting,Entertainment,2010,0.23
Social media usage,Entertainment,2010,0.48
Stove,Household,2010,0.986
Tablet,Entertainment,2010,0.03
Television,Entertainment,2010,0.985
Videocassette recorder,Entertainment,2010,0.921
Cellular phone,Communication,2011,0.89
Computer,Communication,2011,0.78
Dishwasher,Household,2011,0.693
Dryer,Household,2011,0.834
Ebook reader,Entertainment,2011,0.1
Freezer,Household,2011,0.358
Home air conditioning,Household,2011,0.887
Household refrigerator,Household,2011,0.992
Internet,Communication,2011,0.76
Landline,Communication,2011,0.705
Microwave,Household,2011,0.968
Podcasting,Entertainment,2011,0.25
Smartphone usage,Communication,2011,0.35
Social media usage,Entertainment,2011,0.5
Stove,Household,2011,0.986
Tablet,Entertainment,2011,0.1
Television,Entertainment,2011,0.983
Videocassette recorder,Entertainment,2011,0.909
Cellular phone,Communication,2012,0.87
Ebook reader,Entertainment,2012,0.19
Internet,Communication,2012,0.81
Landline,Communication,2012,0.75
Podcasting,Entertainment,2012,0.29
Smartphone usage,Communication,2012,0.45
Social media usage,Entertainment,2012,0.59
Tablet,Entertainment,2012,0.25
Cellular phone,Communication,2013,0.89
Ebook reader,Entertainment,2013,0.24
Internet,Communication,2013,0.82
Landline,Communication,2013,0.66
Podcasting,Entertainment,2013,0.27
Smartphone usage,Communication,2013,0.58
Social media usage,Entertainment,2013,0.63
Tablet,Entertainment,2013,0.34
Cellular phone,Communication,2014,0.91
Internet,Communication,2014,0.83
Landline,Communication,2014,0.65
Podcasting,Entertainment,2014,0.3
Smartphone usage,Communication,2014,0.58
Social media usage,Entertainment,2014,0.62
Tablet,Entertainment,2014,0.39
Cellular phone,Communication,2015,0.92
Ebook reader,Entertainment,2015,0.19
Internet,Communication,2015,0.85
Podcasting,Entertainment,2015,0.33
Smartphone usage,Communication,2015,0.69
Social media usage,Entertainment,2015,0.65
Tablet,Entertainment,2015,0.45
Cellular phone,Communication,2016,0.92
Ebook reader,Entertainment,2016,0.22
Internet,Communication,2016,0.88
Smartphone usage,Communication,2016,0.77
Social media usage,Entertainment,2016,0.69
Tablet,Entertainment,2016,0.51
