Timestamp,Your NetID,One thing you like about this visualization:,One thing you think is in need of improvement in this visualization:,One suggestion you have for the visualization designers:
5/3/2019 12:02:56,am2692,cool visualization with good interactivity ,"it is not clear what the user is supposed to click on, and does the median income of, say, $50,000 correspond to 30% of diffusion of technology, since they're on the same line?","maybe add an arrow that makes it obvious what should be clicked on, or make buttons"
5/3/2019 12:03:57,mmr244,Nice animations. Interesting data! (second survey entry lol just from actually interacting with demo),Different categories selectors have no feedback in terms of telling you you already selected it while the animation loads. until then it kind of leaves you thinking nothing happened when you pressed it.,Maybe add a colour change to categories when you press them or try to make animations faster or show as they load if right now they only render once completed? First suggestion is probably the actually feasible one lol
5/3/2019 12:06:29,igl3,"This visualization is amazing and so fun, the design makes me want to interact with. The colors and font are beautiful. ",It would be helpful for it to be adaptive to the screen size,I am confused as to what diffusion is
5/3/2019 12:07:06,zb43,The green area to show I come over the years is a good way to put a main feature in the background without losing any clarity,What the points represent ,Hovering over the categories shows their points on the chart
5/3/2019 12:07:10,yt376,"I liked the interactive portions, and the message was really clear through the trend shown.","It was difficult to differentiate points that were close together, and the color legend was not that clear.",The beginning animations were a little slow. I found myself waiting for a bit. Maybe make it quicker?
5/3/2019 12:08:31,jz626,"The coloring and font look really good, and this visualization is large and looks clean. ","I think the delay between the new information popping up (scales, etc.) is a bit too slow. ","I don't see any interactive parts, so that would be cool if added! "
5/3/2019 12:17:14,jl2578,I love how the interaction shows animation at the beginning.,It's somewhat unclear from first glance what the visualization is showing.,Make what's shown by the dots more obvious from a glance by possibly enacting mouseover or doing something other than a scatterplot.
5/3/2019 13:04:50,fj75,I really enjoy the interaction of this visualization. ,I like it as it is right now. I notice that I cannot go back to the scatter plot after selecting a specific category. Maybe it will be helpful if I can go back and see the relationship between each category. ,"I really like it as it is right now, can't think of suggestions other than making the text size consistent, ex: the two y axis. "
5/3/2019 13:10:21,mw749,The animation looks really good and axes are clearly labeled.,I think it's a little unclear right now that the different categories are clickable-- I just moving them somewhere else or making them bigger as well as some sort of indication that you can interact with them.,I'm a little confused as to why some of the diffusion lines just cut off after a certain point. Is this because there's not enough data or that it doesn't really change afterwards?
5/3/2019 13:25:35,ztb5,The animations are smooth and the visualization looks polished.,The timing of the switch between graphs is a little confusing and not entirely sure how it works. ,"I would probably make it more clear that the items at the top are buttons, not just text."
5/3/2019 13:27:01,zz643,animation of the chart.,There's a delay when I click on different categories to show the lines on chart.,"It would be better to adjust the size of the chart. I have a laptop with smaller screen, it would be better to make the size of the chart adjustable by the screen size."
5/3/2019 13:35:24,yz927,"The visualization looks very cool, which clearly shows the diffusion in different fields.",It would be nice if users can hover over a data point and see the specific content. Now the overall content seems a little scattered.,You could shrink it a little bit. Now the width of the website exceeds the normal browser width.
